# psi logA_t_0 f_t_0 tau_t_0 phi_t_0 logL logPrior
2.895142841254016552e+00 -2.071488158911595789e+01 2.378798217920564753e+02 5.750592080311924328e-03 9.618598281124342009e-01 3.869765238303951628e+04 0.000000000000000000e+00
1.454597804618131818e+00 -2.103464557540082680e+01 2.425718750970308690e+02 1.354377629540210078e-02 3.698157697529296684e+00 3.869765636997977708e+04 0.000000000000000000e+00
1.292362709087343742e+00 -2.046174862558240903e+01 2.052287487982591756e+02 2.019168752942446243e-03 3.820039999184459578e+00 3.869771103903016046e+04 0.000000000000000000e+00
2.222282900866415112e+00 -2.082538919515857856e+01 2.688421943400052214e+02 4.619751254759459254e-03 4.620801756675987804e+00 3.869773050200498255e+04 0.000000000000000000e+00
2.065219927586610549e+00 -2.095488621705854371e+01 2.590401312381029584e+02 1.258710488802891256e-02 4.689127659501914458e+00 3.869775352688774001e+04 0.000000000000000000e+00
3.283894095332021701e-01 -2.097181644529714006e+01 2.497943111902870044e+02 1.334550094799368501e-02 1.677198977119108703e+00 3.869786601852078456e+04 0.000000000000000000e+00
1.514855850958827688e+00 -2.071073436031642601e+01 2.511054484470008674e+02 3.818584866704988028e-03 4.292339428307116123e+00 3.869789378712108009e+04 0.000000000000000000e+00
8.192844054950918498e-01 -2.099221664358234207e+01 2.572722519558718659e+02 7.254257568300689560e-03 2.502898875424357961e+00 3.869790541872633912e+04 0.000000000000000000e+00
2.408156094178651951e+00 -2.099925777137254457e+01 2.570402393495888873e+02 6.754950041157069957e-03 5.645167243296060455e+00 3.869793931415696716e+04 0.000000000000000000e+00
2.094122975425554700e-01 -2.041628806091122783e+01 2.396066343944366679e+02 1.637523290035349573e-03 1.628893160988182265e+00 3.869796442990220385e+04 0.000000000000000000e+00
2.139721267788610159e+00 -2.100125086462397306e+01 2.460796996378900019e+02 1.511829938944608646e-02 5.297362724040659998e+00 3.869800761191964557e+04 0.000000000000000000e+00
2.820763894238967673e+00 -2.109779628557345532e+01 2.523274043985916819e+02 1.281719579791437691e-02 2.243796576802761789e-01 3.869801964048498485e+04 0.000000000000000000e+00
1.455329225724318221e+00 -2.078958864768190651e+01 2.310573863311645653e+02 7.531811822215622211e-03 3.947930594806359217e+00 3.869802013635054027e+04 0.000000000000000000e+00
1.566807215765493755e+00 -2.073938717516107033e+01 2.193209857947261980e+02 4.214655924204333166e-03 4.704390978494235043e+00 3.869803482882335811e+04 0.000000000000000000e+00
6.307430575657269056e-01 -2.106752440254926384e+01 2.578412941109441476e+02 8.898240010492041233e-03 1.862326246312266509e+00 3.869803637300532864e+04 0.000000000000000000e+00
1.161048267828296510e+00 -2.107681920506782092e+01 2.510416237821505945e+02 1.467081915269086503e-02 2.814044530543919453e+00 3.869806615507202514e+04 0.000000000000000000e+00
2.597601996466523566e+00 -2.069674275230880056e+01 2.409793032792377687e+02 5.054563302105742097e-03 3.302763594386650681e-01 3.869808465391404752e+04 0.000000000000000000e+00
3.010090162301519712e+00 -2.075394833260487104e+01 2.188905178830962370e+02 3.201690978028691112e-03 9.981392969434106366e-01 3.869809055886766146e+04 0.000000000000000000e+00
6.480113760826158309e-01 -2.072117127431814865e+01 2.501148167171396892e+02 2.654087805373531173e-03 1.978383622502244199e+00 3.869810115138398396e+04 0.000000000000000000e+00
9.079438852183777664e-01 -2.066232931954627716e+01 2.659021499933224391e+02 5.873851566382289405e-03 2.367978658210339038e+00 3.869810899297755532e+04 0.000000000000000000e+00
1.908303194632978261e+00 -2.071556811323219804e+01 2.178298951540897406e+02 2.903580414643788278e-03 5.072498591311665805e+00 3.869814307322930108e+04 0.000000000000000000e+00
2.825170185837277970e+00 -2.101393952837220169e+01 2.595731467312074301e+02 9.632059253448711778e-03 3.142484510339227377e-02 3.869820754641723033e+04 0.000000000000000000e+00
2.869040151813683437e+00 -2.089957405203129426e+01 2.630140354359354546e+02 4.657617354142756967e-03 6.163340806781210546e+00 3.869821343721565063e+04 0.000000000000000000e+00
3.450243012903758677e-01 -2.111424342354305139e+01 2.441928778380298581e+02 1.306807940216603119e-02 1.597441078398109893e+00 3.869823655434633838e+04 0.000000000000000000e+00
7.594993600977478776e-01 -2.069418005941264838e+01 2.105856186924261237e+02 3.814450798473551646e-03 2.902110607833569667e+00 3.869826106804698793e+04 0.000000000000000000e+00
2.537192210472964948e-01 -2.093268213925115262e+01 2.427187318307419730e+02 1.216238566929433648e-02 1.296941715216551660e+00 3.869826628334832640e+04 0.000000000000000000e+00
2.813613891114114640e+00 -2.079978693670996037e+01 2.403363586377153069e+02 8.409420269829066125e-03 6.525314839135001321e-01 3.869827100563178101e+04 0.000000000000000000e+00
6.820088021386930821e-01 -2.093317220378325061e+01 2.493694579989915781e+02 1.392132364578009193e-02 2.007533921537503208e+00 3.869829114593232225e+04 0.000000000000000000e+00
3.048418812293698377e+00 -2.047721469140426009e+01 2.190621656634555734e+02 3.475026451001891198e-03 1.231017309672096660e+00 3.869829873874903569e+04 0.000000000000000000e+00
1.250356933727474473e+00 -2.056026874129618776e+01 2.585169075950404363e+02 2.663407069486552377e-03 2.951171021494221947e+00 3.869830130833596922e+04 0.000000000000000000e+00
2.149001290366325811e+00 -2.031019619637412887e+01 2.183152669440871989e+02 1.981815079636706570e-03 5.748808527766737342e+00 3.869830652114781697e+04 0.000000000000000000e+00
1.585670324078428228e+00 -2.101599014968623891e+01 2.429538386224729152e+02 1.187291485669377152e-02 4.369382853566435188e+00 3.869830806811342336e+04 0.000000000000000000e+00
2.099193849301560277e+00 -2.106305719761948225e+01 2.456481330477298286e+02 1.393030946913695334e-02 4.884886887457707161e+00 3.869832341567493131e+04 0.000000000000000000e+00
2.903821727256534757e+00 -2.067561799087921415e+01 2.825673816229697763e+02 4.059495892345109901e-03 6.074504103224854568e+00 3.869833080437537865e+04 0.000000000000000000e+00
1.733935043206807025e+00 -2.077259610489445407e+01 2.673540251709580957e+02 5.678104367645080836e-03 4.182401394230112146e+00 3.869833866817187663e+04 0.000000000000000000e+00
1.827397169528592435e+00 -2.055283696179013830e+01 2.512784246229320217e+02 4.755205966920223772e-03 4.270281570545440886e+00 3.869834575001549092e+04 0.000000000000000000e+00
2.324323701370184736e+00 -2.083210577166684274e+01 2.501090034425447470e+02 4.070514682048125346e-03 5.786569774810070399e+00 3.869834833912987233e+04 0.000000000000000000e+00
1.182434479459186338e+00 -2.092934240664872192e+01 2.413027201756961233e+02 1.193436389251068853e-02 3.245692844135326549e+00 3.869834986704201583e+04 0.000000000000000000e+00
3.268500428187970375e-01 -2.091853373330598842e+01 2.392675110457402923e+02 5.890572785585947158e-03 1.328346517925160342e+00 3.869838200843107188e+04 0.000000000000000000e+00
1.851523715561321559e+00 -2.073362064269231908e+01 2.729111474980613252e+02 4.416609344837221438e-03 3.876763718598892350e+00 3.869838214534729923e+04 0.000000000000000000e+00
2.822546162230219480e+00 -2.074664603072816149e+01 2.466866704227304297e+02 9.337698940754212557e-03 2.689884189231356859e-01 3.869840227154943568e+04 0.000000000000000000e+00
1.684635674209380207e+00 -2.097664121720527675e+01 2.405420038969447774e+02 1.244028754172910034e-02 4.433889402621326248e+00 3.869840279468626250e+04 0.000000000000000000e+00
3.019240237841178676e-01 -2.076604421386345578e+01 2.667742040580083085e+02 3.145228407713603243e-03 1.131992731951072528e+00 3.869842371029542119e+04 0.000000000000000000e+00
